UKPRN,PrivateBeta,Provider Name,Provider Type,HEI subsidiary
10000794,N,BOLTON COLLEGE,Statutory FE Sector - Designated Institution,HEI subsidiary
10008641,N,FIRCROFT COLLEGE OF ADULT EDUCATION,Statutory FE Sector - Designated Institution,
10080810,N,HARTPURY COLLEGE OF FURTHER EDUCATION,Statutory FE Sector - Designated Institution,HEI subsidiary
10007875,N,MARY WARD SETTLEMENT,Statutory FE Sector - Designated Institution,
10004432,N,MORLEY COLLEGE LIMITED,Statutory FE Sector - Designated Institution,
10003088,N,RICHMOND AND HILLCROFT ADULT AND COMMUNITY COLLEGE,Statutory FE Sector - Designated Institution,
10005583,N,RUSKIN COLLEGE,Statutory FE Sector - Designated Institution,HEI subsidiary
10003755,N,SOUTH BANK COLLEGES,Statutory FE Sector - Designated Institution,HEI subsidiary
10001463,N,THE CITY LITERARY INSTITUTE,Statutory FE Sector - Designated Institution,
10004204,N,THE MARINE SOCIETY AND SEA CADETS,Statutory FE Sector - Designated Institution,
10007364,N,WORKERS' EDUCATIONAL ASSOCIATION,Statutory FE Sector - Designated Institution,
10007636,N,WORKING MEN'S COLLEGE CORPORATION,Statutory FE Sector - Designated Institution,
10094574,N,WRITTLE COLLEGE LIMITED,Statutory FE Sector - Designated Institution,HEI subsidiary
10000055,N,ABINGDON AND WITNEY COLLEGE,Statutory FE Sector - General Further Education College,
10004927,N,ACTIVATE LEARNING,Statutory FE Sector - General Further Education College,
10057981,N,ADA NATIONAL COLLEGE FOR DIGITAL SKILLS,Statutory FE Sector - General Further Education College,
10000415,N,ASKHAM BRYAN COLLEGE,Statutory FE Sector - General Further Education College,
10000528,N,BARKING AND DAGENHAM COLLEGE,Statutory FE Sector - General Further Education College,
10000533,N,BARNET & SOUTHGATE COLLEGE,Statutory FE Sector - General Further Education College,
10000536,N,BARNSLEY COLLEGE,Statutory FE Sector - General Further Education College,
10000560,Y,BASINGSTOKE COLLEGE OF TECHNOLOGY,Statutory FE Sector - General Further Education College,
10001465,N,BATH COLLEGE,Statutory FE Sector - General Further Education College,
10000610,N,BEDFORD COLLEGE,Statutory FE Sector - General Further Education College,
10006442,N,BIRMINGHAM METROPOLITAN COLLEGE,Statutory FE Sector - General Further Education College,
10000720,N,BISHOP AUCKLAND COLLEGE,Statutory FE Sector - General Further Education College,
10000721,N,BISHOP BURTON COLLEGE,Statutory FE Sector - General Further Education College,
10000747,N,BLACKBURN COLLEGE,Statutory FE Sector - General Further Education College,
10000754,N,BLACKPOOL AND THE FYLDE COLLEGE,Statutory FE Sector - General Further Education College,
10000812,N,BOSTON COLLEGE,Statutory FE Sector - General Further Education College,
10000820,N,"BOURNEMOUTH AND POOLE COLLEGE, THE",Statutory FE Sector - General Further Education College,
10000840,N,BRADFORD COLLEGE,Statutory FE Sector - General Further Education College,
10000944,N,BROCKENHURST COLLEGE,Statutory FE Sector - General Further Education College,
10000950,N,BROOKLANDS COLLEGE,Statutory FE Sector - General Further Education College,
10000473,N,BUCKINGHAMSHIRE COLLEGE GROUP,Statutory FE Sector - General Further Education College,
10001000,N,BURNLEY COLLEGE,Statutory FE Sector - General Further Education College,
10001004,N,BURTON AND SOUTH DERBYSHIRE COLLEGE,Statutory FE Sector - General Further Education College,
10001005,N,BURY COLLEGE,Statutory FE Sector - General Further Education College,
10001093,N,CALDERDALE COLLEGE,Statutory FE Sector - General Further Education College,
10001116,N,CAMBRIDGE REGIONAL COLLEGE,Statutory FE Sector - General Further Education College,
10001148,N,CAPEL MANOR COLLEGE,Statutory FE Sector - General Further Education College,
10007455,N,CAPITAL CITY COLLEGE GROUP,Statutory FE Sector - General Further Education College,
10001353,N,CHELMSFORD COLLEGE,Statutory FE Sector - General Further Education College,
10005972,N,CHESHIRE COLLEGE SOUTH AND WEST,Statutory FE Sector - General Further Education College,
10001378,N,CHESTERFIELD COLLEGE,Statutory FE Sector - General Further Education College,
10007817,N,CHICHESTER COLLEGE GROUP,Statutory FE Sector - General Further Education College,
10004772,N,CITY COLLEGE NORWICH,Statutory FE Sector - General Further Education College,
10005128,Y,CITY COLLEGE PLYMOUTH,Statutory FE Sector - General Further Education College,
10001467,N,CITY OF BRISTOL COLLEGE,Statutory FE Sector - General Further Education College,
10007945,N,CITY OF PORTSMOUTH COLLEGE,Statutory FE Sector - General Further Education College,
10001475,N,CITY OF SUNDERLAND COLLEGE,Statutory FE Sector - General Further Education College,
10007578,N,CITY OF WOLVERHAMPTON COLLEGE,Statutory FE Sector - General Further Education College,
10001535,N,COLCHESTER INSTITUTE,Statutory FE Sector - General Further Education College,
10001696,N,CORNWALL COLLEGE,Statutory FE Sector - General Further Education College,
10003010,N,COVENTRY COLLEGE,Statutory FE Sector - General Further Education College,
10001743,N,CRAVEN COLLEGE,Statutory FE Sector - General Further Education College,
10001778,N,CROYDON COLLEGE,Statutory FE Sector - General Further Education College,
10001850,N,DARLINGTON COLLEGE,Statutory FE Sector - General Further Education College,
10001919,N,DCG,Statutory FE Sector - General Further Education College,
10001934,N,DERWENTSIDE COLLEGE,Statutory FE Sector - General Further Education College,
10004695,N,DN COLLEGES GROUP,Statutory FE Sector - General Further Education College,
10007924,N,DUDLEY COLLEGE OF TECHNOLOGY,Statutory FE Sector - General Further Education College,
10002094,Y,"EALING, HAMMERSMITH & WEST LONDON COLLEGE",Statutory FE Sector - General Further Education College,
10004116,N,EAST COAST COLLEGE,Statutory FE Sector - General Further Education College,
10002111,Y,EAST DURHAM COLLEGE,Statutory FE Sector - General Further Education College,
10004552,N,EAST LANCASHIRE LEARNING GROUP,Statutory FE Sector - General Further Education College,
10002130,N,EAST SURREY COLLEGE,Statutory FE Sector - General Further Education College,
10002923,N,EAST SUSSEX COLLEGE GROUP,Statutory FE Sector - General Further Education College,
10006570,N,EKC GROUP,Statutory FE Sector - General Further Education College,
10002370,N,EXETER AND NORTH DEVON COLLEGES GROUP,Statutory FE Sector - General Further Education College,
10002412,N,FARNBOROUGH COLLEGE OF TECHNOLOGY,Statutory FE Sector - General Further Education College,
